Student del resid,h,dffits,DFBETAS (Intercept),DFBETAS brandford,DFBETAS brandhyundi,DFBETAS brandskoda,DFBETAS brandvauxhall,DFBETAS year,DFBETAS transmissionManual,DFBETAS mileage,DFBETAS engineSize
42,2,11,22,22,1,36,2,22,17,22,42
81,11,17,25,27,17,51,11,25,23,42,51
134,42,22,42,42,18,55,42,42,42,60,52
252,46,42,60,51,42,81,64,60,51,94,55
418,55,51,113,55,58,85,85,113,55,113,60
528,64,55,199,62,80,93,93,199,59,173,81
779,85,64,222,77,81,94,110,222,77,199,85
864,90,81,243,81,85,115,117,243,81,222,93
872,93,85,271,85,93,156,160,271,84,243,111
933,100,93,282,93,162,162,162,282,162,252,115
972,107,117,297,113,196,168,216,297,173,271,134
1002,110,134,309,123,202,179,285,309,227,282,162
1123,117,162,341,162,230,189,332,341,233,293,199
1141,122,173,352,180,274,195,369,352,252,341,203
1220,126,194,373,194,285,199,375,373,257,352,211
1415,133,199,406,217,312,257,380,406,279,363,227
1495,136,203,413,223,324,273,382,413,373,373,252
1561,160,222,418,224,325,285,472,418,396,406,257
1688,175,252,509,245,332,307,557,509,418,418,285
1733,199,257,527,251,372,310,706,527,491,433,309
1845,216,271,558,257,373,332,745,558,506,448,311
1879,218,282,564,270,396,334,779,564,509,493,332
2017,222,285,628,271,483,341,840,628,511,509,427
2099,263,309,655,282,506,346,864,655,527,520,439
2104,271,332,697,285,516,411,930,697,533,525,509
2115,278,341,790,297,547,418,933,790,540,548,527
2166,285,352,823,306,548,570,963,823,547,552,528
2262,309,363,872,313,549,602,970,872,548,558,545
2267,311,373,933,331,561,646,993,933,555,564,564
2293,327,413,945,332,572,650,1002,945,558,628,603
2341,332,418,970,352,630,717,1021,970,564,654,628
2406,336,509,994,363,647,745,1098,994,603,655,660
2463,369,527,1002,373,657,779,1100,1002,663,660,680
2795,373,528,1004,388,672,864,1115,1004,721,697,710
2796,375,558,1006,406,688,922,1129,1006,768,792,743
3015,380,564,1029,413,726,933,1139,1029,776,823,745
3059,382,628,1042,427,745,958,1177,1042,779,832,749
3072,397,641,1056,428,752,970,1323,1056,807,848,768
3134,398,655,1123,442,779,972,1324,1123,837,855,779
3310,402,660,1141,484,823,1002,1335,1141,858,872,833
3398,409,697,1160,509,828,1006,1336,1160,872,910,864
3406,411,745,1173,511,833,1061,1386,1173,924,930,872
3650,418,779,1189,541,856,1120,1387,1189,927,945,875
3831,427,790,1193,592,877,1177,1405,1193,933,970,915
3976,443,833,1278,639,883,1220,1454,1278,935,994,970
4330,454,848,1282,641,913,1238,1457,1282,965,998,972
4360,458,864,1294,655,927,1336,1492,1294,970,1004,986
4377,472,872,1295,724,929,1374,1508,1295,972,1006,1002
4389,490,927,1336,727,931,1375,1530,1336,982,1029,1006
4573,509,933,1351,744,933,1394,1540,1351,1002,1042,1054
4674,527,970,1381,745,935,1407,1554,1381,1006,1056,1069
4676,557,972,1384,757,943,1411,1561,1384,1018,1067,1113
4690,564,986,1405,776,965,1421,1585,1405,1096,1087,1121
4819,568,1002,1410,779,970,1479,1635,1410,1123,1123,1122
4836,575,1006,1415,790,972,1508,1679,1415,1167,1131,1123
4868,579,1021,1420,805,1002,1526,1684,1420,1198,1143,1141
,629,1056,1421,809,1006,1554,1688,1421,1212,1173,1154
,664,1096,1427,848,1029,1559,1733,1427,1220,1176,1177
,706,1123,1428,858,1047,1561,1746,1428,1251,1189,1220
,712,1129,1431,864,1074,1566,1755,1431,1252,1212,1223
,714,1139,1444,871,1078,1634,1759,1444,1259,1219,1322
,732,1141,1458,919,1096,1679,1871,1458,1282,1220,1336
,745,1143,1461,933,1131,1684,1945,1461,1315,1251,1346
,749,1160,1480,947,1170,1688,1958,1480,1326,1282,1370
,750,1173,1486,948,1173,1733,1960,1486,1350,1294,1375
,779,1177,1495,970,1177,1755,1977,1495,1351,1335,1381
,794,1190,1528,972,1198,1759,2063,1528,1375,1336,1415
,796,1193,1548,982,1203,1770,2083,1548,1381,1350,1421
,833,1198,1557,994,1217,1774,2091,1557,1384,1351,1431
,840,1212,1560,1002,1220,1820,2097,1560,1386,1381,1495
,843,1220,1561,1006,1252,1871,2099,1561,1405,1384,1508
,844,1248,1566,1008,1259,1912,2104,1566,1415,1386,1543
,852,1259,1567,1010,1263,1927,2115,1567,1427,1405,1545
,867,1278,1591,1013,1283,1977,2117,1591,1431,1415,1548
,872,1282,1604,1018,1333,1984,2128,1604,1444,1420,1554
,875,1295,1605,1056,1336,2022,2166,1605,1445,1421,1566
,898,1336,1667,1102,1351,2097,2222,1667,1460,1427,1586
,930,1350,1684,1109,1359,2099,2353,1684,1479,1431,1614
,945,1351,1688,1111,1365,2103,2380,1688,1528,1444,1679
,953,1375,1733,1125,1375,2104,2476,1733,1530,1455,1684
,963,1381,1739,1132,1422,2109,2482,1739,1559,1461,1755
,970,1384,1765,1141,1444,2128,2485,1765,1560,1480,1759
,986,1386,1814,1143,1445,2130,2544,1814,1561,1486,1767
,993,1398,1815,1160,1462,2148,2588,1815,1565,1495,1778
,994,1405,1828,1174,1477,2203,2643,1828,1602,1510,1814
,1002,1415,1868,1177,1498,2217,2690,1868,1623,1528,1817
,1005,1420,1871,1190,1508,2246,2699,1871,1663,1548,1845
,1006,1421,1879,1193,1512,2267,2812,1879,1688,1560,1866
,1012,1428,1940,1208,1517,2310,2925,1940,1723,1561,1871
,1015,1431,1941,1212,1524,2380,2938,1941,1733,1566,1878
,1020,1444,1958,1219,1554,2394,2992,1958,1738,1591,1879
,1021,1455,1999,1220,1561,2401,3006,1999,1748,1604,1897
,1026,1480,2010,1225,1572,2402,3015,2010,1754,1605,1908
,1042,1486,2017,1248,1598,2411,3027,2017,1755,1635,1937
,1075,1495,2086,1251,1600,2448,3036,2086,1762,1657,1977
,1083,1508,2111,1278,1601,2449,3065,2111,1765,1667,2017
,1098,1554,2115,1290,1608,2452,3111,2115,1769,1688,2050
,1099,1557,2129,1312,1611,2463,3117,2129,1787,1730,2086
,1100,1559,2166,1315,1624,2482,3155,2166,1815,1731,2097
,1115,1560,2199,1320,1637,2485,3171,2199,1817,1733,2099
,1123,1561,2217,1328,1669,2520,3181,2217,1845,1739,2104
,1129,1566,2262,1334,1679,2542,3260,2262,1847,1765,2115
,1131,1568,2285,1336,1684,2549,3273,2285,1849,1828,2128
,1139,1591,2293,1362,1688,2577,3310,2293,1865,1845,2166
,1149,1605,2341,1375,1729,2585,3372,2341,1871,1847,2204
,1160,1667,2384,1378,1733,2588,3378,2384,1929,1868,2217
,1163,1679,2463,1384,1738,2613,3398,2463,1937,1877,2262
,1173,1684,2501,1398,1755,2636,3406,2501,1961,1925,2267
,1177,1688,2523,1405,1759,2643,3487,2523,1965,1940,2274
,1181,1692,2573,1406,1786,2672,3526,2573,1983,1941,2309
,1189,1733,2577,1410,1805,2699,3542,2577,2017,1994,2310
,1227,1755,2597,1428,1815,2733,3600,2597,2029,1999,2330
,1246,1759,2611,1446,1834,2760,3627,2611,2086,2002,2332
,1276,1765,2639,1455,1838,2801,3652,2639,2091,2010,2341
,1282,1817,2678,1459,1871,2804,3658,2678,2099,2017,2344
,1294,1828,2680,1460,1884,2812,3661,2680,2104,2030,2357
,1295,1845,2692,1461,1901,2814,3670,2692,2105,2055,2380
,1303,1871,2762,1480,1929,2867,3685,2762,2115,2088,2385
,1304,1879,2783,1486,1971,2881,3779,2783,2166,2099,2394
,1323,1937,2796,1508,1974,2933,3803,2796,2204,2111,2397
,1324,1940,2847,1522,1977,2940,3807,2847,2217,2115,2406
,1335,1941,2897,1554,1983,2944,3831,2897,2267,2129,2422
,1336,1958,2913,1557,1992,2956,3846,2913,2310,2166,2432
,1348,1977,2943,1561,2001,2968,3888,2943,2341,2192,2435
,1350,1983,2954,1565,2097,3015,3901,2954,2370,2199,2460
,1375,2012,2959,1568,2099,3030,3910,2959,2371,2204,2463
,1381,2017,2980,1577,2102,3033,3926,2980,2380,2217,2482
,1384,2083,2990,1599,2104,3036,3968,2990,2382,2228,2485
,1386,2086,3008,1602,2115,3045,3976,3008,2394,2240,2508
,1387,2091,3015,1604,2128,3059,4067,3015,2470,2262,2535
,1420,2097,3027,1605,2160,3068,4076,3027,2473,2267,2552
,1421,2099,3063,1623,2166,3070,4188,3063,2482,2285,2577
,1425,2104,3092,1640,2167,3072,4190,3092,2501,2293,2639
,1431,2115,3097,1655,2209,3081,4236,3097,2552,2310,2659
,1433,2128,3103,1661,2217,3121,4250,3103,2573,2341,2678
,1454,2129,3106,1679,2231,3181,4265,3106,2588,2371,2699
,1457,2166,3132,1684,2252,3187,4298,3132,2639,2384,2714
,1458,2199,3134,1688,2258,3267,4309,3134,2643,2432,2721
,1471,2204,3192,1691,2267,3301,4330,3192,2678,2463,2762
,1478,2217,3214,1692,2296,3378,4360,3214,2732,2501,2788
,1486,2262,3236,1731,2299,3398,4363,3236,2749,2528,2795
,1492,2267,3237,1733,2334,3406,4408,3237,2758,2553,2796
,1499,2293,3310,1755,2338,3542,4467,3310,2795,2573,2812
,1505,2310,3334,1759,2341,3591,4493,3334,2796,2599,2827
,1508,2330,3339,1787,2464,3600,4508,3339,2812,2627,2915
,1510,2341,3378,1828,2470,3607,4516,3378,2828,2639,2927
,1530,2380,3441,1833,2482,3627,4546,3441,2876,2678,2961
,1540,2384,3472,1850,2485,3635,4604,3472,2943,2692,3015
,1541,2394,3507,1859,2486,3649,4614,3507,2999,2713,3035
,1542,2463,3511,1868,2488,3652,4634,3511,3000,2762,3036
,1554,2470,3598,1871,2500,3661,4648,3598,3012,2783,3053
,1560,2482,3627,1873,2523,3704,4670,3627,3015,2795,3059
,1561,2485,3628,1890,2545,3785,4676,3628,3030,2797,3072
,1566,2501,3695,1892,2582,3807,4681,3695,3059,2801,3103
,1573,2523,3727,1963,2586,3827,4702,3727,3063,2829,3104
,1585,2570,3735,1977,2588,3831,4705,3735,3072,2847,3124
,1591,2573,3812,2012,2599,3960,4710,3812,3090,2871,3134
,1605,2577,3825,2026,2630,3968,4712,3825,3118,2897,3143
,1635,2588,3831,2029,2643,3988,4721,3831,3134,2943,3151
,1654,2592,3848,2070,2647,3995,4733,3848,3137,2959,3181
,1667,2611,3855,2097,2664,4002,4782,3855,3181,2990,3183
,1679,2639,3884,2099,2681,4014,4807,3884,3219,2994,3192
,1680,2659,3931,2104,2699,4017,4819,3931,3236,3008,3212
,1684,2678,3968,2105,2766,4076,4862,3968,3271,3014,3235
,1688,2699,3976,2108,2781,4094,4868,3976,3273,3015,3237
,1701,2766,4006,2115,2782,4111,4884,4006,3310,3036,3343
,1707,2783,4029,2126,2785,4116,4888,4029,3401,3063,3355
,1728,2795,4042,2128,2789,4144,4948,4042,3413,3065,3378
,1733,2796,4055,2129,2791,4187,,4055,3415,3092,3379
,1741,2797,4076,2150,2807,4192,,4076,3465,3097,3383
,1742,2801,4098,2166,2812,4221,,4098,3526,3100,3389
,1746,2812,4103,2169,2849,4236,,4103,3542,3134,3398
,1755,2828,4173,2189,2854,4265,,4173,3600,3167,3399
,1759,2847,4194,2199,2892,4282,,4194,3604,3192,3406
,1765,2861,4250,2213,2905,4326,,4250,3610,3237,3534
,1767,2897,4275,2217,2910,4330,,4275,3661,3261,3542
,1817,2944,4293,2226,2918,4360,,4293,3672,3307,3551
,1823,2959,4298,2249,2932,4364,,4298,3695,3310,3598
,1831,2961,4356,2253,2948,4366,,4356,3707,3329,3600
,1853,2992,4360,2267,2977,4397,,4360,3751,3339,3604
,1871,3008,4363,2279,3001,4454,,4363,3772,3378,3627
,1895,3015,4377,2293,3009,4460,,4377,3807,3425,3650
,1897,3027,4384,2316,3016,4467,,4384,3831,3472,3652
,1899,3033,4385,2341,3036,4483,,4385,3851,3482,3672
,1908,3036,4422,2372,3039,4493,,4422,3855,3556,3735
,1912,3059,4447,2379,3050,4500,,4447,3864,3598,3778
,1913,3063,4491,2380,3059,4512,,4491,3966,3600,3807
,1927,3065,4493,2384,3066,4514,,4493,3968,3627,3831
,1937,3072,4516,2386,3072,4559,,4516,3976,3628,3898
,1940,3092,4542,2394,3090,4580,,4542,3989,3647,3946
,1941,3097,4577,2482,3105,4676,,4577,4002,3674,3968
,1942,3106,4579,2485,3118,4691,,4579,4017,3695,3976
,1945,3111,4611,2528,3132,4712,,4611,4029,3727,3995
,1957,3118,4629,2570,3134,4730,,4629,4055,3735,4002
,1958,3132,4640,2588,3159,4733,,4640,4076,3748,4017
,1960,3134,4642,2592,3181,4757,,4642,4094,3767,4073
,1966,3151,4653,2593,3219,4769,,4653,4111,3812,4076
,1977,3181,4674,2610,3251,4819,,4674,4129,3824,4094
,1982,3192,4690,2611,3264,4836,,4690,4144,3825,4118
,2017,3237,4698,2643,3271,4868,,4698,4173,3831,4144
,2019,3244,4730,2656,3310,4885,,4730,4188,3848,4152
,2039,3251,4739,2678,3378,4888,,4739,4223,3855,4172
,2063,3273,4754,2699,3398,4925,,4754,4234,3864,4185
,2083,3294,4778,2701,3404,4935,,4778,4236,3883,4196
,2086,3307,4782,2758,3406,4946,,4782,4265,3884,4269
,2091,3310,4836,2765,3542,4947,,4836,4307,3931,4299
,2097,3351,4844,2775,3568,,,4844,4330,3968,4330
,2104,3355,4856,2797,3608,,,4856,4359,3976,4360
,2115,3378,4868,2812,3610,,,4868,4360,4029,4366
,2116,3398,4888,2826,3627,,,4888,4377,4042,4377
,2117,3406,4896,2828,3643,,,4896,4385,4071,4389
,2128,3425,4921,2829,3652,,,4921,4387,4096,4392
,2139,3427,4929,2838,3661,,,4929,4447,4103,4415
,2146,3526,,2856,3673,,,,4468,4144,4467
,2161,3542,,2861,3702,,,,4480,4155,4493
,2166,3600,,2871,3707,,,,4493,4173,4499
,2185,3627,,2876,3737,,,,4508,4194,4573
,2187,3650,,2897,3751,,,,4542,4221,4580
,2199,3652,,2922,3772,,,,4551,4234,4674
,2217,3672,,2950,3782,,,,4554,4250,4698
,2222,3685,,2959,3800,,,,4580,4275,4733
,2244,3696,,2973,3807,,,,4595,4289,4743
,2256,3707,,2974,3831,,,,4604,4293,4753
,2269,3727,,2980,3839,,,,4616,4330,4778
,2272,3735,,2994,3849,,,,4619,4360,4799
,2274,3797,,3008,3850,,,,4648,4363,4819
,2310,3807,,3015,3899,,,,4653,4377,4836
,2341,3825,,3023,3941,,,,4660,4384,4888
,2353,3831,,3036,3945,,,,4665,4385,4895
,2355,3910,,3047,3966,,,,4674,4491,4920
,2367,3966,,3058,3968,,,,4676,4493,4924
,2380,3968,,3059,3970,,,,4680,4514,4935
,2394,3976,,3063,3971,,,,4690,4542,4942
,2405,3995,,3072,3973,,,,4712,4549,4944
,2435,4002,,3079,4011,,,,4729,4577,4947
,2452,4017,,3097,4076,,,,4732,4640,
,2463,4042,,3106,4109,,,,4775,4642,
,2476,4055,,3132,4133,,,,4778,4648,
,2485,4076,,3137,4135,,,,4792,4653,
,2501,4094,,3138,4175,,,,4798,4674,
,2505,4098,,3147,4180,,,,4807,4676,
,2521,4103,,3148,4188,,,,4809,4690,
,2523,4144,,3168,4202,,,,4819,4739,
,2526,4152,,3181,4207,,,,4836,4772,
,2535,4155,,3243,4219,,,,4845,4777,
,2537,4172,,3244,4222,,,,4860,4778,
,2544,4188,,3272,4223,,,,4868,4782,
,2566,4222,,3294,4231,,,,4888,4819,
,2573,4236,,3304,4236,,,,4917,4826,
,2577,4250,,3305,4238,,,,4924,4836,
,2597,4265,,3307,4265,,,,4935,4856,
,2599,4282,,3310,4288,,,,4944,4868,
,2604,4288,,3334,4303,,,,4947,4872,
,2612,4293,,3351,4314,,,,,4888,
,2620,4330,,3378,4320,,,,,4896,
,2678,4360,,3398,4330,,,,,4898,
,2680,4363,,3406,4359,,,,,4920,
,2690,4366,,3413,4360,,,,,4921,
,2699,4377,,3415,4376,,,,,4924,
,2706,4385,,3425,4385,,,,,4935,
,2713,4387,,3427,4387,,,,,4937,
,2714,4467,,3434,4428,,,,,,
,2727,4493,,3448,4447,,,,,,
,2731,4516,,3451,4456,,,,,,
,2734,4542,,3455,4461,,,,,,
,2745,4554,,3465,4467,,,,,,
,2759,4573,,3472,4489,,,,,,
,2783,4577,,3501,4493,,,,,,
,2786,4579,,3512,4503,,,,,,
,2790,4580,,3542,4554,,,,,,
,2801,4611,,3543,4568,,,,,,
,2812,4642,,3557,4587,,,,,,
,2813,4648,,3559,4590,,,,,,
,2814,4653,,3599,4602,,,,,,
,2820,4670,,3600,4639,,,,,,
,2825,4674,,3602,4643,,,,,,
,2839,4676,,3613,4662,,,,,,
,2841,4680,,3620,4674,,,,,,
,2847,4690,,3627,4676,,,,,,
,2868,4733,,3645,4680,,,,,,
,2870,4739,,3647,4712,,,,,,
,2894,4778,,3652,4733,,,,,,
,2908,4782,,3661,4764,,,,,,
,2913,4819,,3672,4765,,,,,,
,2915,4826,,3687,4785,,,,,,
,2925,4836,,3691,4793,,,,,,
,2938,4844,,3695,4804,,,,,,
,2943,4856,,3696,4805,,,,,,
,2954,4868,,3703,4815,,,,,,
,2961,4872,,3713,4819,,,,,,
,2980,4888,,3727,4836,,,,,,
,2992,4896,,3747,4838,,,,,,
,2998,4917,,3793,4851,,,,,,
,3006,4920,,3797,4855,,,,,,
,3011,4935,,3807,4868,,,,,,
,3014,4944,,3812,4888,,,,,,
,3015,4947,,3825,4896,,,,,,
,3020,,,3831,4917,,,,,,
,3027,,,3834,4934,,,,,,
,3036,,,3864,4935,,,,,,
,3063,,,3875,4947,,,,,,
,3065,,,3920,4952,,,,,,
,3078,,,3930,,,,,,,
,3086,,,3951,,,,,,,
,3092,,,3968,,,,,,,
,3093,,,3975,,,,,,,
,3104,,,3989,,,,,,,
,3109,,,3992,,,,,,,
,3111,,,4002,,,,,,,
,3117,,,4017,,,,,,,
,3131,,,4033,,,,,,,
,3132,,,4046,,,,,,,
,3133,,,4048,,,,,,,
,3134,,,4076,,,,,,,
,3141,,,4094,,,,,,,
,3155,,,4100,,,,,,,
,3163,,,4103,,,,,,,
,3164,,,4155,,,,,,,
,3170,,,4188,,,,,,,
,3171,,,4236,,,,,,,
,3183,,,4240,,,,,,,
,3191,,,4244,,,,,,,
,3222,,,4254,,,,,,,
,3226,,,4263,,,,,,,
,3235,,,4265,,,,,,,
,3237,,,4292,,,,,,,
,3260,,,4293,,,,,,,
,3261,,,4307,,,,,,,
,3273,,,4311,,,,,,,
,3307,,,4313,,,,,,,
,3310,,,4330,,,,,,,
,3329,,,4331,,,,,,,
,3338,,,4360,,,,,,,
,3339,,,4384,,,,,,,
,3362,,,4385,,,,,,,
,3369,,,4417,,,,,,,
,3372,,,4452,,,,,,,
,3378,,,4467,,,,,,,
,3389,,,4480,,,,,,,
,3398,,,4493,,,,,,,
,3399,,,4508,,,,,,,
,3406,,,4542,,,,,,,
,3407,,,4551,,,,,,,
,3409,,,4552,,,,,,,
,3417,,,4556,,,,,,,
,3424,,,4577,,,,,,,
,3441,,,4580,,,,,,,
,3454,,,4595,,,,,,,
,3468,,,4611,,,,,,,
,3473,,,4616,,,,,,,
,3475,,,4626,,,,,,,
,3477,,,4633,,,,,,,
,3482,,,4640,,,,,,,
,3487,,,4642,,,,,,,
,3502,,,4674,,,,,,,
,3508,,,4676,,,,,,,
,3526,,,4701,,,,,,,
,3541,,,4712,,,,,,,
,3549,,,4715,,,,,,,
,3560,,,4719,,,,,,,
,3575,,,4727,,,,,,,
,3593,,,4729,,,,,,,
,3600,,,4732,,,,,,,
,3627,,,4733,,,,,,,
,3652,,,4738,,,,,,,
,3658,,,4739,,,,,,,
,3670,,,4752,,,,,,,
,3672,,,4754,,,,,,,
,3685,,,4773,,,,,,,
,3690,,,4775,,,,,,,
,3698,,,4777,,,,,,,
,3706,,,4788,,,,,,,
,3711,,,4795,,,,,,,
,3735,,,4798,,,,,,,
,3743,,,4819,,,,,,,
,3759,,,4836,,,,,,,
,3771,,,4844,,,,,,,
,3779,,,4845,,,,,,,
,3785,,,4846,,,,,,,
,3786,,,4847,,,,,,,
,3803,,,4868,,,,,,,
,3807,,,4872,,,,,,,
,3823,,,4875,,,,,,,
,3824,,,4888,,,,,,,
,3825,,,4895,,,,,,,
,3828,,,4906,,,,,,,
,3833,,,4931,,,,,,,
,3846,,,4935,,,,,,,
,3852,,,4944,,,,,,,
,3884,,,4947,,,,,,,
,3888,,,,,,,,,,
,3898,,,,,,,,,,
,3901,,,,,,,,,,
,3907,,,,,,,,,,
,3910,,,,,,,,,,
,3924,,,,,,,,,,
,3926,,,,,,,,,,
,3946,,,,,,,,,,
,3968,,,,,,,,,,
,3976,,,,,,,,,,
,3995,,,,,,,,,,
,4002,,,,,,,,,,
,4006,,,,,,,,,,
,4017,,,,,,,,,,
,4042,,,,,,,,,,
,4055,,,,,,,,,,
,4056,,,,,,,,,,
,4061,,,,,,,,,,
,4067,,,,,,,,,,
,4076,,,,,,,,,,
,4094,,,,,,,,,,
,4097,,,,,,,,,,
,4125,,,,,,,,,,
,4186,,,,,,,,,,
,4190,,,,,,,,,,
,4194,,,,,,,,,,
,4211,,,,,,,,,,
,4221,,,,,,,,,,
,4229,,,,,,,,,,
,4250,,,,,,,,,,
,4252,,,,,,,,,,
,4256,,,,,,,,,,
,4260,,,,,,,,,,
,4261,,,,,,,,,,
,4266,,,,,,,,,,
,4272,,,,,,,,,,
,4280,,,,,,,,,,
,4295,,,,,,,,,,
,4298,,,,,,,,,,
,4309,,,,,,,,,,
,4317,,,,,,,,,,
,4330,,,,,,,,,,
,4342,,,,,,,,,,
,4352,,,,,,,,,,
,4356,,,,,,,,,,
,4363,,,,,,,,,,
,4366,,,,,,,,,,
,4367,,,,,,,,,,
,4377,,,,,,,,,,
,4408,,,,,,,,,,
,4420,,,,,,,,,,
,4436,,,,,,,,,,
,4437,,,,,,,,,,
,4462,,,,,,,,,,
,4467,,,,,,,,,,
,4478,,,,,,,,,,
,4479,,,,,,,,,,
,4492,,,,,,,,,,
,4493,,,,,,,,,,
,4499,,,,,,,,,,
,4516,,,,,,,,,,
,4539,,,,,,,,,,
,4541,,,,,,,,,,
,4542,,,,,,,,,,
,4546,,,,,,,,,,
,4567,,,,,,,,,,
,4576,,,,,,,,,,
,4579,,,,,,,,,,
,4580,,,,,,,,,,
,4586,,,,,,,,,,
,4591,,,,,,,,,,
,4604,,,,,,,,,,
,4614,,,,,,,,,,
,4629,,,,,,,,,,
,4634,,,,,,,,,,
,4648,,,,,,,,,,
,4653,,,,,,,,,,
,4658,,,,,,,,,,
,4670,,,,,,,,,,
,4674,,,,,,,,,,
,4679,,,,,,,,,,
,4681,,,,,,,,,,
,4690,,,,,,,,,,
,4702,,,,,,,,,,
,4705,,,,,,,,,,
,4710,,,,,,,,,,
,4721,,,,,,,,,,
,4730,,,,,,,,,,
,4733,,,,,,,,,,
,4744,,,,,,,,,,
,4746,,,,,,,,,,
,4747,,,,,,,,,,
,4753,,,,,,,,,,
,4761,,,,,,,,,,
,4782,,,,,,,,,,
,4799,,,,,,,,,,
,4807,,,,,,,,,,
,4816,,,,,,,,,,
,4832,,,,,,,,,,
,4834,,,,,,,,,,
,4842,,,,,,,,,,
,4849,,,,,,,,,,
,4850,,,,,,,,,,
,4856,,,,,,,,,,
,4862,,,,,,,,,,
,4868,,,,,,,,,,
,4884,,,,,,,,,,
,4888,,,,,,,,,,
,4893,,,,,,,,,,
,4895,,,,,,,,,,
,4896,,,,,,,,,,
,4908,,,,,,,,,,
,4921,,,,,,,,,,
,4929,,,,,,,,,,
,4935,,,,,,,,,,
,4948,,,,,,,,,,
